Date/Time,ISS Latitude,ISS Longitude,MI_X (µT),MI_Y (µT),MI_Z (µT),Tot_MI,Temperature (°C)
15:18.8,-9.589011859,5.45039875,1.765413404,32.77030182,44.52173996,55.29777051,30.0248
15:29.3,-10.14058293,5.858123478,2.074789047,32.83766174,44.41969299,55.25844681,30.0248
15:39.8,-10.64146119,6.230132292,2.306628466,32.74017715,44.15947723,54.99350196,30.0248
15:50.2,-11.19178661,6.640911822,2.647565365,32.77894211,43.73820114,54.6821438,29.9167
16:00.7,-11.69147044,7.01584908,2.979866266,32.6291008,43.28980637,54.23693779,29.9527
16:11.2,-12.2404136,7.430017237,3.192708492,32.58284378,43.063591,54.03061435,29.9527
16:21.7,-12.73877665,7.808188589,3.40544486,32.39336395,42.78647995,53.69747051,29.9888
16:32.2,-13.28619667,8.226085176,3.545215845,32.40554047,42.60082626,53.55832958,29.9527
16:42.7,-13.78311001,8.607803958,4.353856087,32.30421448,42.29376221,53.26047738,30.0068
16:53.2,-14.32886261,9.02977646,4.48143816,32.24173737,42.12229919,53.0876554,29.9708
17:03.7,-14.82419306,9.415359422,4.663493633,32.2129364,42.04907608,53.01378655,29.9347
17:14.3,-15.36813054,9.841762155,4.968896389,32.16036606,41.67908859,52.69159769,29.9888
17:24.7,-15.86173977,10.23153629,5.144686222,32.08575058,41.30099106,52.34894401,29.9888
17:35.2,-16.40370674,10.66273126,5.300157547,32.13857269,40.99185181,52.13942776,29.9888
17:45.7,-16.89545646,11.05702954,5.504404545,32.04387283,40.91962433,52.0262419,30.0789
17:56.2,-17.43529583,11.49338727,5.706368446,31.79897499,40.70604324,51.70941051,30.0068
18:06.7,-17.92503576,11.89255036,5.733983994,31.59967422,40.43648148,51.37492024,30.0068
18:17.2,-18.4625836,12.33445079,5.80642128,31.35011101,39.97183228,50.8564967,30.0789
18:27.7,-18.95016348,12.73882873,5.830654144,31.25732422,39.82477188,50.68395631,29.9888
18:38.2,-19.48524904,13.18666032,5.952657223,30.98460007,39.6307373,50.36460501,29.9708
18:48.7,-19.97051178,13.59661169,6.031010151,30.8397007,39.55942535,50.22017805,30.0068
18:59.2,-20.50295918,14.05077488,6.061085701,30.7581501,39.47607422,50.10474348,29.9708
19:09.7,-20.98574086,14.4666668,6.210316181,30.60071564,39.47569656,50.00944644,30.0068
19:20.2,-21.51536739,14.92756968,6.234536648,30.45397568,39.35795593,49.8269793,30.0248
19:30.6,-21.99549895,15.34977953,6.253005505,30.22352219,39.38075638,49.70471076,29.9167
19:41.1,-22.52211166,15.81784556,6.357334137,30.15114403,39.21427155,49.5298689,30.0429
19:51.6,-22.99941381,16.24676095,6.378827095,29.91313744,39.29531479,49.44993815,29.9347
20:02.2,-23.52281633,16.72242045,6.422987461,29.74566841,39.10831451,49.20048822,30.0248
20:12.7,-23.99710467,17.15844094,6.653166294,29.83379364,39.11518097,49.26160565,29.9167
20:23.2,-24.51708697,17.64213786,6.744177341,29.81599426,38.95556259,49.12508064,30.0609
20:33.7,-24.98817195,18.08566986,6.864027977,29.81772995,38.90751266,49.08926144,29.9527
20:44.2,-25.50451888,18.57786183,6.917386532,29.78600502,38.8432045,49.0195677,29.9347
20:54.6,-25.97219559,19.02932708,6.87814188,29.68836975,38.85060501,48.96577325,30.0068
21:05.2,-26.48467835,19.53047855,6.888676643,29.59325218,38.69419098,48.78411285,29.8986
21:15.7,-26.94873677,19.99030738,7.01378727,29.36818314,38.81214142,48.74306401,29.9347
21:26.2,-27.45712141,20.50090159,7.03217268,29.12719536,38.94736862,48.70650064,30.0248
21:36.7,-27.91734297,20.96953453,7.707884312,29.08805847,39.11224747,48.82203326,29.9527
21:47.1,-28.42138019,21.49006153,7.561186314,28.88589668,39.40337372,48.93446714,29.8986
21:57.6,-28.87753096,21.9679545,7.550336838,28.85293579,39.41225052,48.92205772,29.9167
22:08.2,-29.37696122,22.49891975,7.525732994,28.79297638,39.42279816,48.89497148,30.0248
